topic,problem_statement,solution,correct option
Spatial reasoning,"In a room, there are 4 corner tables shaped as quarter-circles. Each table fits perfectly in each corner of the room. If you put them together, they form a full circle. One day, the tables were rearranged to form a new shape - a square with an empty space in the middle. The side of the square formed by the tables is twice the length of each side of the original square room. What is the ratio of the area of the empty space in the middle of the tables to the area of one table?","1. Let the original square room have side length s. Each table is a quarter-circle of radius s, so its area is (π s²)/4.

2. When rearranged, the tables form a square of side 2s, and the empty central region is exactly the square minus the 4 quarter-disks:
   Empty area = (2s)² – 4·(π s²/4) = 4s² – π s² = s²(4 – π).

3. The ratio of empty area to one table’s area is
   [s²(4 – π)] / [π s²/4] = 4(4 – π)/π = (16 – 4π)/π = 16/π – 4.

This matches answer option 2.

CORRECT ANSWER: 2",2
Lateral thinking,Emma has been captured and she only has one chance to escape. The kidnapper tells her she can leave if she figures out the pattern and fills in the blank correctly. He gives her a piece of paper with the sequence: 'JFMAMJJASON_D'. What letter should Emma write in the blank to escape?,"Step-by-step reasoning:

1. Observe the string of letters: J F M A M J J A S O N _ D  
2. Note that the first eleven letters are the initial letters of the months January through November:
   J = January  
   F = February  
   M = March  
   A = April  
   M = May  
   J = June  
   J = July  
   A = August  
   S = September  
   O = October  
   N = November  
3. The next slot (the blank) must be the first letter of December, which is “D.”  
4. The final “D” shown completes December’s “D” (sometimes puzzles double-list to emphasize the wrap).  

Therefore Emma should write “D,” which corresponds to option 3.  

CORRECT ANSWER: 3",3
Spatial reasoning,"Imagine a cube that is painted red on all its faces and is then cut into 27 identical smaller cubes. These smaller cubes are mixed up with identical cubes of the same size that have never been painted. If the ratio of painted to unpainted smaller cubes is 2:1, how many of the smaller cubes have exactly two red faces exposed?","1. First, list how many small cubes from the original painted 3×3×3 cube have k painted faces:
   - 3 painted faces (corners): 8  
   - 2 painted faces (edge-centers): 12  
   - 1 painted face (face-centers): 6  
   - 0 painted faces (the very center): 1  
   Total 27 cubes.

2. “Painted” here means at least one red face, so there are 8+12+6 = 26 painted cubes. The one interior cube has 0 red faces, so is unpainted along with any added blanks.

3. They mix in extra unpainted cubes so that painted : unpainted = 2 : 1. Let x be the extra blanks. Then  
   painted : unpainted = 26 : (1+x) = 2 : 1  
   ⇒ 26 = 2(1 + x) ⇒ 26 = 2 + 2x ⇒ 2x = 24 ⇒ x = 12.

4. The question asks for the count of small cubes with exactly two red faces—that is exactly the edge-center cubes from the original, which is 12.

CORRECT ANSWER: 2",2
Operation of mechanisms,"A new clock has been designed to use a special mechanism where each of the three gears (A, B, and C) engage with each other in a linear sequence (A engages with B, B engages with C). Gear A rotates clockwise, and each gear has a different number of teeth: Gear A has 40 teeth, Gear B has 55 teeth, and Gear C has 70 teeth. If gear A makes one full rotation clockwise, how many rotations and in which direction will gear C complete?","1. Step-by-step reasoning  
   a. When two gears mesh, they rotate in opposite directions and the ratio of their rotations equals the inverse ratio of their tooth counts:  
      θ₂ = –(N₁/N₂)·θ₁,  
      where N₁, N₂ are tooth counts of driving and driven gears, θ₁, θ₂ their rotation angles, and the minus sign denotes reversal of direction.  
   b. First, A drives B:  
      N_A = 40, N_B = 55, θ_A = +1 rotation (clockwise).  
      θ_B = –(N_A/N_B)·θ_A = –(40/55)·1 = –40/55 = –8/11 rotations.  
      The negative sign means B turns 8/11 of a rotation counterclockwise.  
   c. Next, B drives C:  
      N_B = 55, N_C = 70, θ_B = –8/11 rotations (CCW).  
      θ_C = –(N_B/N_C)·θ_B = –(55/70)·(–8/11) = +(55·8)/(70·11) = 4/7 rotations.  
      The positive sign means C turns 4/7 of a rotation in the same sense as A, i.e. clockwise.  

2. Therefore, gear C makes 4/7 rotations clockwise.

CORRECT ANSWER: 1",1
Classic riddles,You arrive at a fork in the road and find a pair of identical twin sisters standing there. One sister always tells the truth and the other always lies. You can ask just one question to either sister to figure out which road leads to the city. What question should you ask?,"Here’s the classic analysis:

1. Label the sisters T (truth‐teller) and L (liar). One road (call it “Left”) goes to the city; the other (“Right”) does not.  
2. You ask one sister, “What road would your sister say is the one to the city?”  
   - If you ask T: she knows L always lies. L would point you to the wrong road (Right). T truthfully reports “Right.”  
   - If you ask L: she knows T always tells the truth. T would point you to the correct road (Left). L must lie about that, so she also says “Right.”  
3. In either case you hear “Right,” so you take the opposite road (“Left”), which is the city road.

Thus the question you should ask is exactly option 1.

CORRECT ANSWER: 1",1
Lateral thinking,"Alice, Bob, and Charlie are trapped in a room with two doors. One door leads to freedom, but the other door leads to a room full of traps that is unavoidable once someone enters. There is no indication of which door is which. In the room, there is a computer that allows them to ask one yes-or-no question. The computer will answer truthfully, but it will turn off after one question. They need to figure out which door to take without risking anyone's life. What single question can they ask the computer to ensure they pick the correct door to freedom?","Step-by-step reasoning:

1. We have two doors, one “freedom” door and one “trap” door.  
2. The computer will answer one yes-or-no question truthfully.  
3. A single direct yes-no question about either door’s status is sufficient to identify the safe door.  
4. For example: “Is the left door the one that leads to freedom?”  
   - If the computer answers “Yes,” they take the left door.  
   - If the computer answers “No,” they take the right door.  
5. No further trickery or nested hypotheticals is needed, since the computer never lies and will answer truthfully.

CORRECT ANSWER: 1",1
Spatial reasoning,"Four friends are at corners of a large square field and want to reach the exact center of the field at the same time. Each of them starts walking at the same time with the same walking speed but each takes a different straight path. The paths are as follows: Friend A walks directly towards the center, Friend B walks diagonally to the opposite corner and then takes a 90-degree turn towards the center, Friend C walks to the midpoint of one of the edges of the square and then walks parallel to another edge to reach the center, and Friend D takes a path that first heads to the center of an adjacent edge and then directly towards the center. Assuming they all walk at a constant speed, which friend would need to walk the fastest to reach the center at the same time as the others?","1. Let the square have side length L and center at the point that is L/2 from each side.  
2. Compute each friend’s total path length:

  Friend A (directly towards center):  
    Distance = √[(L/2)² + (L/2)²] = (L√2)/2 ≈ 0.707 L  

  Friend B (to opposite corner then to center):  
    First leg (corner to opposite corner) = L√2  
    Second leg (that corner to center) = (L√2)/2  
    Total = L√2 + (L√2)/2 = (3/2)·L√2 ≈ 2.121 L  

  Friend C (to midpoint of one edge, then parallel to another edge):  
    First leg = L/2  
    Second leg = L/2  
    Total = L  

  Friend D (to midpoint of adjacent edge, then straight‐line to center):  
    First leg = L/2  
    Second leg = √[(L/2)² + (L/2)²] = (L√2)/2  
    Total = L/2 + (L√2)/2 = (1 + √2)/2 · L ≈ 1.207 L  

3. Ranking path lengths: B (≈2.121 L) > D (≈1.207 L) > C (1 L) > A (≈0.707 L).  
4. To arrive simultaneously at the same walking‐time T, speed = distance/T, so the longest path (Friend B) requires the highest speed.

CORRECT ANSWER: 2",2
Spatial reasoning,An ant is located at one corner of a 10 x 10 x 10 cube. It needs to crawl to the diagonally opposite corner in the shortest possible path without crossing any of the cube's faces. What is the minimum surface distance the ant must travel?,"Step-by-step reasoning:

1. Label the cube’s side length L = 10.  We want the shortest path on the surface from A = (0,0,0) to B = (L,L,L).

2. Any surface path can be “unfolded” into the plane by cutting along edges.  The shortest route will traverse exactly two faces (if you try to use three faces you get a longer rectangle).

3. Pick the two adjacent faces that meet along an edge between a face of A and a face of B.  When you unfold those two faces into one flat rectangle, the start and end points become opposite corners of a  L×(2L)  rectangle.

4. The straight‐line distance in that rectangle is  
   √[ (2L)² + (L)² ]  
   = √[4L² + L²]  
   = √(5L²)  
   = L√5.

5. Plug in L = 10:  distance = 10√5 ≈ 22.36, which is not one of the first four numerical options.

Therefore the correct choice is “Another answer.”

CORRECT ANSWER: 5",5
Spatial reasoning,"A builder has a set of 5 differently shaped blocks: a cube, a sphere, a pyramid, a cylinder, and a cone. He places all of them in a row but notices that when viewed from the top, three particular shapes align perfectly such that their top surfaces form a straight line. Which three shapes are these and in what order do they appear in the row? Note that the cylinder's height is twice its diameter, the cone's height is equal to the diameter of its base, and the cube side length is equal to the diameter of the sphere.","1. Reasoning  
- The puzzle hinges on matching the vertical “top‐heights” of solid objects so that, when you look from the side (or equivalently imagine their rooflines viewed in profile), the apices/flat tops of three of them lie exactly on one straight (horizontal) line.  
- We know:  
  • The sphere’s height (its diameter) = D.  
  • The cube’s side = D, so its top face sits at height D.  
  • The cone’s height = its base diameter; if we choose that base diameter = D, then the cone’s apex is also at height D.  
- No other shape in the set can be forced to height D by the data given (the cylinder must be 2× its own diameter, and the pyramid’s height is unspecified), so the only three that can be made to share the same top‐height D are:  
    Sphere, Cube, and Cone  
- In a row, those three will have their highest points all at the same elevation, hence their top surfaces “line up” on one straight (horizontal) line.

2. Which option?  
None of the four listed triples is exactly “Sphere–Cube–Cone.”  Therefore the correct choice is the fifth entry: “Another answer.”  

CORRECT ANSWER: 5",5
Spatial reasoning,"You have a 4x4x4 cube made up of 64 smaller 1x1x1 cubes. You paint the entire outer surface of the large cube. After it dries, you take apart the cube and notice that some of the smaller cubes have 0, 1, 2, or 3 painted faces. How many of the smaller cubes have exactly 2 painted faces?","Here’s the breakdown:

1. A 4×4×4 cube has 64 unit cubes in all.  
2. Cubes with exactly three painted faces are the 8 corners.  
3. Cubes with exactly two painted faces lie on the edges but are not corners.  
   - There are 12 edges on a cube.  
   - Each edge in a 4×4×4 has 4 cubes, of which 2 are corners, leaving 2 “middle” cubes per edge.  
   - So number with exactly two painted faces = 12 edges × 2 = 24.  
4. (For completeness: the 1-face cubes are the face-interiors: 6 faces × (4−2)² = 6×4 = 24; the 0-face cubes are the interior 2×2×2 block = 8; total checks out to 64.)

Thus there are 24 small cubes with exactly two painted faces.

CORRECT ANSWER: 4",4
Operation of mechanisms,"In a factory, there are three machines A, B, and C that are programmed to finish a task in exactly 1, 2, and 3 hours respectively. However, each machine needs a 30-minute setup time initially which doesn't count towards the task completion time. If all machines are started at the same time, how long will it take for all three machines to finish the task?","Step-by-step reasoning:

1. Each machine must spend 0.5 h (30 min) in setup before doing any actual work.  
2. After setup, machine A takes 1 h more, machine B takes 2 h more, and machine C takes 3 h more to finish its task.  
3. Thus their individual finish times (measured from the moment they’re all started) are:  
   - A: 0.5 h + 1 h = 1.5 h (1 h 30 min)  
   - B: 0.5 h + 2 h = 2.5 h (2 h 30 min)  
   - C: 0.5 h + 3 h = 3.5 h (3 h 30 min)  
4. “How long until all three machines have finished?” means we wait until the slowest one (C) is done. That is 3.5 h = 3 h 30 min.

CORRECT ANSWER: 3",3
Sequence solving,"In a unique sequence, each number is the sum of the 3 previous numbers. The sequence starts with 2, 2, and 4. What is the 6th number in the sequence?","Step-by-step reasoning:
1. The sequence is defined by a₁ = 2, a₂ = 2, a₃ = 4, and for n ≥ 4:  
   aₙ = aₙ₋₁ + aₙ₋₂ + aₙ₋₃.  
2. Compute the next terms:  
   a₄ = a₃ + a₂ + a₁ = 4 + 2 + 2 = 8  
   a₅ = a₄ + a₃ + a₂ = 8 + 4 + 2 = 14  
   a₆ = a₅ + a₄ + a₃ = 14 + 8 + 4 = 26  
3. The 6th term is 26, which corresponds to option 2.

CORRECT ANSWER: 2",2
Spatial reasoning,"In a cube-cutting challenge, you have a solid cube made of wood. In each move, you can make a straight cut through the cube. After the first cut, you now have two pieces. You make a second cut through both pieces, and now have four pieces. You make a third cut through all four pieces, and have some number of pieces now. Without rearranging any pieces between cuts, what is the maximum number of pieces you could have after the third cut?","1. Let P(n) be the maximum number of pieces after n planar cuts through the cube (with no rearrangement).  
2. After the first cut, P(1)=2 obvious.  
3. A new plane in space that intersects the cube and all previous planes in general position will cut through existing pieces and create as many new pieces as there are regions into which that plane is itself divided by its intersections with the earlier planes.  
4. When you add the k-th cut, it intersects the previous k – 1 planes in k – 1 lines.  In a plane, the maximum number of regions determined by m lines in general position is m(m+1)/2 + 1.  
5. Thus the k-th cut adds R(k–1)= (k–1)·k/2 + 1 new pieces, so  
   P(k) = P(k–1) + [ (k–1)·k/2 + 1 ].  
6. Check for k=2: new regions in the 2nd plane = 1·2/2 + 1=2, so P(2)=2+2=4.  
7. For the 3rd cut: R(2)=2·3/2 +1=3+1=4, so P(3)=P(2)+4=4+4=8.  
8. Therefore the maximum after three cuts is 8 pieces.

CORRECT ANSWER: 2",2
Logical traps,"In a special logic class, the teacher announces a surprise test will happen during the next week (Monday to Friday). However, the teacher also gives a hint: the test cannot be on Friday, since if it weren't given by Thursday, students would know for sure it was on Friday, and thus it would not be a surprise. After some thought, one clever student argues that following this logic, the test can't be on Thursday either, because come Wednesday night, without a test, Thursday would be the only remaining option, ceasing to be a surprise. Continuing this deduction, she concludes the test can't be on Wednesday... Tuesday... or even Monday! However, to the students' shock, the test was indeed given during the next week and it still was a surprise. How could this be, and when was the test given?","Step-by-step reasoning:

1. The student’s elimination argument hinges on backward induction:  
   - If by Thursday evening no test has occurred, Friday would be the only remaining day, so it couldn’t be a surprise on Friday.  
   - Ergo, Friday is ruled out.  
   - Then she reasons the same way for Thursday (if no test by Wednesday evening, Thursday would be “obvious”), then Wednesday, then Tuesday, then even Monday.

2. The flaw in that backward induction is that it assumes the students will be perfectly confident of those eliminations in advance. In reality, on Monday morning the students do not know whether the teacher’s “surprise” condition fails or not—Friday has only been “ruled out” by a hypothetical argument that trusts the earlier eliminations, so Monday is still a viable surprise day.

3. Thus nothing prevents the teacher from giving the test on Monday: when Monday arrives and no test has yet been given, the students have no firm basis to predict it—even on Monday morning it’s still a surprise.

4. Indeed, when the teacher gives the test on Monday, it satisfies the “surprise” condition. The student’s backward-elimination logic simply doesn’t apply to the first day.

Therefore the test was given on Monday, and the student’s all-day elimination was flawed.

CORRECT ANSWER: 1",1
Spatial reasoning,"Imagine you have a solid wooden cube that measures 3 units on each side. This cube is painted blue on all sides. After the paint dries, you slice this cube into 1-unit cubes. How many of the smaller 1-unit cubes will have exactly two sides painted blue?","1. Break down the 3×3×3 cube into its 27 unit cubes after painting all faces blue.  
2. Classify by number of painted faces:  
   - Corners (3 painted faces): 8 cubes  
   - Edge‐only (exactly 2 painted faces): each of the 12 edges has (3–2)=1 cube between its two corners, so 12 cubes  
   - Face centers (exactly 1 painted face): 6 faces ×1 center each = 6 cubes  
   - Interior (0 painted faces): 1 cube  
3. Thus, the number with exactly two painted faces = 12.

CORRECT ANSWER: 2",2
Optimization of actions and planning,"You are planning a small party and you have three types of beverages to choose from: juice, soda, and water. Based on your guests' preferences, you know the following: - 60% prefer juice, 20% prefer soda, and 20% prefer water. - You have a budget that allows you to buy a total of 100 drinks. - One unit of juice costs $1, soda costs $0.80, and water costs $0.50. - You want to satisfy the preferences of at least 90% of your guests. How many units of each beverage should you buy to meet the preferences and stay within the budget, assuming each guest will have one drink?","Here is the step-by-step check of each answer choice against the two hard constraints:  
  • Total drinks =100  
  • Satisfy ≥90 guests’ first choice  
(We also check cost ≤ the implied \$100 “juice‐equivalent” budget.)  

Let J,S,W = units of juice, soda, water bought.  
Preferences to satisfy: up to 60 juice‐lovers, 20 soda‐lovers, 20 water‐lovers.  
Number satisfied = min(J,60)+min(S,20)+min(W,20).  

Cost =1·J +0.8·S +0.5·W; budget ≤\$100.  

Check each option:  
1) 74J,13S,13W → sum=100; cost=74+10.4+6.5=90.9 OK; satisfied=60+13+13=86 (fails the ≥90 rule)  
2) 60J,20S,20W → sum=100; cost=60+16+10=86 OK; satisfied=60+20+20=100 ≥90 ✔  
3) 70J,15S,15W → sum=100; cost=70+12+7.5=89.5 OK; satisfied=60+15+15=90 ≥90 ✔  
4) 65J,17S,18W → sum=100; cost=65+13.6+9=87.6 OK; satisfied=60+17+18=95 ≥90 ✔  

Only choices 2, 3, and 4 meet the ≥90% preference rule.  Among these, the simplest “buy in direct proportion to stated preferences (60% juice, 20% soda, 20% water)” is choice 2, which also stays well under the budget.  

CORRECT ANSWER: 2",2
Spatial reasoning,"A cube has edges of length 2 cm. If the largest possible cylinder is carved out of this cube, what will be the total surface area of the remaining part of the cube?","1. We have a cube of side 2 cm.  The “largest” right circular cylinder that fits in it in the obvious way has its axis perpendicular to one face, so  
   • radius r = ½·(side) = 1 cm  
   • height h = side = 2 cm  

2. Original surface‐area of cube = 6·(2×2) = 24 cm².  

3. When we drill the hole:  
   – We remove two circular disks (one on each of two opposite faces), total area removed = 2·πr² = 2π(1²) = 2π.  
   – We gain the cylindrical lateral surface, area = (circumference)·h = 2πr·h = 2π·1·2 = 4π.  

4. Total surface‐area of the remaining solid =  
   24 (original faces) – 2π (holes) + 4π (inner wall)  
   = 24 + 2π ≈ 24 + 6.283 = 30.283 cm²  

No option matches 30.283 cm², so it must be “another answer.”  
CORRECT ANSWER: 5",5
Sequence solving,"Consider the sequence where each number indicates the position that the digit 2 appears for the first time in that number (for example, '10' is in position 1 because it contains the digit 2 for the first time as the sequence starts). What is the 5th number in this sequence?","Step-by-step reasoning:

1. We list the positive integers that contain the digit “2,” in increasing order:
   Term 1: 2  
   Term 2: 12  
   Term 3: 20  
   Term 4: 21  
   Term 5: 22  
   (Then Term 6: 23, Term 7: 24, …)

2. The 5th number in this sequence is therefore 22.

3. Among the answer choices, “22” is option 2.

CORRECT ANSWER: 2",2
